text,label,language
"begini juga bercanda kan ? klau juga bercanda , hyo ... siapa yang mau tuh . sebarkan ...",0,ms
laughing out loud odd how every eyewitness victim reports a sexually aroused gay sasquatch,0,en
denver gives sanctuary to illegal drug traffickers courts allow illegal immigrants privileges to send in pleas for lesser crimes,0,en
well you reply not ugly bitch,0,en
"hai , anda telah membuang halaman craig cunningham , dia adalah seorang pelakon yang mengapa saya meletakkan halamannya di sini , apa yang pernah kamu buat awak pukulan sedih",0,ms
program klas bahasa jepang dalam talian jepun jepun japaneselearning japantoday viral viralindonesia,0,ms
she is gay,0,en
hey thank you for following me back you are the guy with kike avatar from vnnforum right i am a fan by the way wink do you have twitter account,1,en
disekat mengapa anda menyekat saya kerana ia penting kerana anda boleh mendapatkan bintang grafik bodoh itu . bagaimana bodoh . sila jangan kerana saya tidak mempunyai vandelised manamana halaman yang penting lain membiasakan anda bodoh .,1,ms
gangguan anda terhadap saya berhenti wikistalking anda sedikit aneh .,1,ms
and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,1,en
dear your worries are not even relevant by the way why only muslims and seasonal hindus are worried,0,en
sebab itu lah orang sebut tanah haram kan,1,ms
how are you going to mess with a bitch that looks up to,0,en
"najib penah berfatwa , wang tunai adalah raja",1,ms
"juga bermakna dan tumpul kepada ahliahli lain . jika , sebagai contoh , pengguna tak berkata sesuatu seperti anak saudara lakilaki pinoy besar , eaglestorm akan membuat jawatan seperti bayi bebek bagaimana bodoh . dia",0,ms
trump is a fucking kike liar,1,en
"patutlah bulan ini duit laju sahaja habis beli almari , meja , tukar tayar khianat ini semua hampir rm celaka",1,ms
what they succeed in doing is equating mercenaries for either the ukrainian or russian side with islamic jihadists thereby transferring the perceived threat from islamists to white main,0,en
maybe but i like to think it a spontaneous miscarriage and the stoned nigger sow is just so obese and full of diabetic nerve damage that she can not even feel anything all she knows is she,1,en
you would have understood if you heard stories of how hindus were raped and killed in bangladesh amit shah does not want to repeat that here also ask myanmar why they threw away rohingyas,0,en
should i have been an athlete is this where they are hiding all the niggers,1,en
"di sana adalah itu sales dalam yang lepas itu minutes 2301 , 19.99 eth 59,855 511 , 19.00 eth 56,891",0,ms
you can say you want to kill the president on twitter but you can not call people cunts the absolute fucking state of gay social media kill jack dorsey how about that fucking nigger,1,en
babi betul ingatkan azam sihat cakap goodluck persembahan rupanya encik azam dan sihat,0,ms
golden jam buka night,0,ms
putin makes a great point if the refugees were really just seeking shelter however one of the goals of islam is to rule the world the refugee crisis was created intentionally and is nothing more than a form of jihad putin understands this and knows obama supports it speakfreely,0,en
fuck anda batang cirit,1,ms
"memcuma lagi keadaan kalau berani mati , beli sahaja dulu siskanya hadap kemudian ahli",0,ms
suck that nigger penis you fucking faggot i absofuckinglutely hate what america has become goddamn white man get off your fucking knees,1,en
if you do not listen to fleet foxes fuck you i fucking hate you,0,en
the ex lying muzrat traitor in chief needs to swing for his crimes,1,en
"dumbas jangan panggil malang saya band garaj , anda duduk di wikipedia sepanjang hari dan mengedit orangorang karut datang pada berapa banyak bilik yang anda perlu bercakap tentang apaapa apaapa pun .",1,ms
so like is she a nazi,0,en
dipecat ! awak awak dipecat ! fuckwit !,1,ms
"gembira khamis . sentiasa menjadi jenis . awak never tahu , anda mungkin menjadi someones keajaiban hari ini .",0,ms
is a dried up hagged out skagged out old prune that has hit the wall at lightspeed no man wants to have sex with her so she takes it out on dead hockey players angry women feminists is there any other kind,0,en
is sexual harassment a side effect of membership in the democratic party or is it a requirement,0,en
grandparents are quite a drain on the budget kill all grandparents,1,en
"menyekat penyuntingnya , dia masih menegaskan untuk menyekat pengguna untuk sebab sekarang . apabila ada editor lain yang akan mengambil twerp kecil ini ke bawah pasak atau dua dan memberi bodoh sedikit rasa ubat ubat sendiri tidak boleh dapat menyekat akaun ...",1,ms
money grubbing filthy kike in panic mode he has to refund shekels,1,en
you keep living in that little bubble and keep pretending that reality is what you say it is the only immigrants i know that are totalitarians or fascist are hooligans neo nazis white supremacy believers and all those ideologies involved white supremacy,0,en
shapiro being blamed for the mosque shooting can not say i give a fuck since he calls trump a racist every chance he gets as he wants arabs out of israel,0,en
their side blacks muslims lesbians tweety birds college profs africa journalists scientist the bitchy gay guys meryl streep and nfl that right goddell u fuck republican in name only mccain and democrats pizza and hotdogs,0,en
just a reminder that whites were not the first slaveholders it was the moslems the slavs were the first slaves during the moslem invasion of europe,1,en
okay i admit the tractor looks like a muzzie nuni rest,1,en
"xli jinping pda this mencuba time , kami sepatutnya tinggal yakin boao2022",0,ms
"oh , ayam stfu getah . kami akan menyerang negara anda .",1,ms
bola sepak dan permainan bola sepak . mereka berdua adalah pelik,1,ms
laughing out loud the blacks in las vegas have seem to adopted our culture it seem i wonder if they will adopted our calm nature and no more ghetto culture we shall see stay tuned folks,1,en
mark zuckerberg also known as mark cuckerborg is an emotionally retarded cyborg lizard alien who walks oddly talks oddly smiles oddly and is a catastrophic virus on humanity thank you for your time,1,en
cut to cubs postgame crew on nbc sports chicago and it a jew a spic and a kneegrow for a team that ll get the vast majority of its offense and pitching this year as usual from white players and whose fanbase is overwhelmingly white,1,en
a birthday action game character that is not a queer bee,0,en
are arabs just a weird mix of niggers and central asians,1,en
"semua orang whos making wang with kami . tinggal blessed , tinggal gembira . saya love anda semua . ingat yang penglihatan adalah long dan",0,ms
wisconsin voter my brother died of an opioid overdose how can you fix that paul nehlen it okay to be white wisconsin voter okay but i am about to lose my job the factory is moving overseas can you stop that paul nehlen did you know jews control the porn industry,1,en
saya akan menyogok dia dengan komoditi yang paling berharga di internet banyak lucah kuda ! dia akan gembira .,1,ms
why are the immigrants being transported to low and middle class neighborhoods only,0,en
woodz < berwarnawarni trauma > coming soon 2022.05 . kosong empat . woodz colorfultrauma,0,ms
adalah di sana manamana johor jabi carats pergi kepada menonton pol tomorrow pagi saturday evening at gsc southkey ?,0,ms
chynks cockass ya umum hello anda goth raghad chynk slyin bermata anak lelaki daripada jitch ingat saya ya krom kubah bastard,1,ms
by running away and proclaiming victory in his echo chamber his dumbfuck followers will likely consider it a masterful philosophical laughing out loud rebuke of the evil nahzi white supremists,0,en
"ithu sahaja . ingat masa lalu awak kacak dengan saya ... dildo , telinga anda , semua darah itu . anda tidak memberi saya pilihan tetapi untuk mengulangi hukuman . kali ini ia akan menjadi lebih kecil .",1,ms
meretas anda fuckin pakai fuckersitalic textfukin taliban fuck anda fuck anda lagi fuck anda bahkan lebih,1,ms
dipaparkan courses yang lengkap web developer dalam 2021 sifar kepada penguasaan skills kepada memohon untuk jobs seperti,0,ms
more than of african niggas carry hiv aids so ladies if you like fucking mildly retarded niggas you will be getting more than you wanted,1,en
what happened zhids happened,1,en
j delany adalah nuffucker nuff kata,1,ms
"maaf ye ucapan terlewat untuk salam aidiladha terima kasih atas ucapan kepada saya kelmarin pendek kata den makan sampai pening , nyaris hendak muntah ciklet lagi taca tak mszjqcqg",1,ms
be a good nigger and speak you mind,1,en
nasib dia tahu asas daripada cpa,0,ms
sayang saya its pukul 11.11 bila kami digunakan kepada buat wishes dan ketawa,0,ms
"baik untuk melihat editor wikipedia neonazi semua melekat bersama . kerja baik , fellas ! kemenangan atau valhalla !",1,ms
kepala hotak dia utama mercun kuil pagi gampang kau jangan esok kau yang aku korbankan celaka,0,ms
parties with leo room full of bad bitch and fine niggas,0,en
"isi fail ku kepada kemensetnegri apa hasil nya pak dimana salahku tentang ita mohmahfudmd mohon maaf , kritikan saya biasanya orang bodoh mengatakan orang lain itu bodoh pak dan saran saya berikan dia pelajaran hukum biar dia tahu berbicara taca kvjenyr a",1,ms
kimi asal aku ada dekat sini lah malang,0,ms
yang mana bahagian daripada shah alam adalah this ? tk pernah nampak pun,0,ms
keduaduanya jika jena picu comel gila hendak beli picu bukan utama overpriced,0,ms
"hello , anne . anda sentiasa jalang .",1,ms
even iq blacks swarming and murdering whites while yelling git them they white know what white is but you do not hmm perhaps i owe you an apology making fun of the retarded is rather base,1,en
ice raids sweep up undocumented immigrants across mississippi the should arrest the employers like trump that hire illegals too,0,en
"kencing pada saya amaran ibu bapa ! sesi pada saya , anda bimbo !",1,ms
congress is a jihadi party they have no issues talking to them,0,en
aboobarazita aaddmmee azharruhaizad nazarudinyaacob setan punya abouz jsbsjshsjsjsjsjs kesian utama,1,ms
sebab kena rambut panjang kucing kucing suka utama rambut kalau pendek mau luka kulit kepala aku sudah rasa sudah masa dengan oyen dulu tajam urutan dia haha,1,ms
i am a slut for white wine and finger foods,0,en
"ramai orang sabah , sampai kuala lumpur pasti jalanjalan sembang di bukit bintangpavillion orang kuala lumpur pula sampai okay terus ke rest",0,ms
"pergi menyembah tuhan yahudi , sub manusia .",1,ms
puasa 19 ikhlaskan hati dalam beramal sayangumat,0,ms
haha ampun berbaring,0,ms
arabs that are obsessed with their white skin are the first to go in the race war,0,en
this is how they all look in person literally insane rabid non make up greasy hair women everytime i see their comments on twitter this is exactly what i envision,0,en
"audi a sila berhenti menyunting , fuck anda . sumbangan ceramah",1,ms
edward semasa mma cathys baptism at jadi jadi jadi blessed dan encouraged anda relationsh,0,ms
", selepas saya membiarkan dia menyedut buah dada saya ,",1,ms
the bengals just got raped by a reindeer,0,en
apa akan anda doa kepada saya ?,0,ms
"ya they adalah horny , dan this saya buat saya bakri kepada wear hijab",0,ms
i am not down with faggots thinking it cool to have non white allies making fun quirky content for us fuck outta here nigger lover,1,en
i thought the german refugees were because of yet another french invasion of their homeland the vastly more common historical scenario i may have to check the news to confirm,0,en
gya besi bera gharq kiranya dia aya han,0,ms
love the idea that feminism has corrupted women into hating the thought of being a housewife when like half the dykes i know can not shut up about one day living on a farm with their girlfriend,0,en
professional tip for any of our free speech facebook group refugees here click your profile photo in the upper right corner select dark mode trust me you will thank me honestly dark mode should be the gab default with how much better looking it makes the site,0,en
my dads bitch thinks she scares us because she white trailer trash ha she forgets we grew up in the south side of,1,en
sindh wants no more refugees afghan refugees should be deported to their own land deportafghanrefugees deportafghanrefugees,1,en
"sudh tentu saya betul , ambillah !",1,ms
bouncezilla created the fortnite black hole,0,en
putusan terakhir kini ditutup,1,ms
some of the moslem invaders being honoured by the british regime,0,en
cont my fecundity and a fuller economic productivity has been outrageously stolen by ghetto blacks mexican invaders white meth trash and now now muslims all to support the kalergi plans of the globalists you know whos no more,1,en
public service announcement god hates niggers and jews,1,en
"jadual waktu solat harian bagi ipoh , kuala kangsar , batu gajah , kampar , sungai siput selasa julai zulhijjah h imsak pagi subuh pagi syuruk pagi zuhur petang asar petang maghrib malam isyak malam nota hari tasyrik haram puasa",0,ms
kekurangan laporan pos york baru dalam artikel kekurangan tanda levine laporan york baru york dalam partinya harus ada sesuatu dalam artik tentang tanda levine mendedahkan olbermann tentang alegedlynya yang menyesal dengan audio zakar kecil di sini artikel di sini,1,ms
"gya allah , kok jadi yang kenak padang bila siah ?",0,ms
i just do not think you know how the justice system works is this a white person thing,0,en
statement from the moslem terrorist family attacking police,0,en
"seribu empat ratus satu per dua kosong tiga this adalah yang akhir ... hold anda nafas dan kiraan kepada sepuluh , 11",0,ms
and our muslim puppet global elitist traitor governments keep importing these savages because they need an excuse to declare martial law if you think i am joking i remind you that martial law was declared in ma after the boston marathon bombing by muslim immigrants,1,en
i tole sum brillohaided nigger bitch off last night because it try to get uppity with me,1,en
only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected,1,en
"anda mendakwa saya dirusuk ... tetapi saya tidak . sama ada anda seorang dumbas buta huruf , atau anda hanya sahaja . yang mana ia adalah",1,ms
it was mostly done so african and moslem artifacts can be planted as evidence to suggest that real swedes are not indigenous to sweden,0,en
ikan terubok pari panggang foodporn sedipagilah ramadhan2022 momscooking malaysianfood fyp myfoodie iftar,0,ms
seperti itu a pengecut . apa lelaki baju merah itu babi . orang angkat kotak pun sudah cuak ketakutan . nempel sangat pengecut . israel bodoh . bangsa setan,1,ms
this is just because of that queer eye video going around and people in the mentions being all crazy about bernie or whoever else and just they are politicians stop idolizing them to this degree please it weird,0,en
i know it not right i know months is retarded and it does not matter what i say activision is still going to do what they want and if that wasn nanti the case then they would have stopped years ago,0,en
oh muslim leaders of today do you think that you will be not asked about not fulfilling your duty of jihad in the day of hashar believe me its your misconception,0,en
out of every nazi soldiers killed in ww2 were killed by the red army of the soviet union,0,en
"baik , fuckhead kelihatan sedikit di atas .",1,ms
oh tuhan saya !!! anda melakukan banyak vandalisme ini ! 7,1,ms
this is the result of mass immigration of sensitive sjw sand niggers with lots of isis money to use liblaws against racist white people this is a population switch this is the only history kids will be allowed to learn in indoctrination highschool what google and twitter tell them,1,en
swine there are two muslim countries given by india pakistan and bangladeshi how can a muslim will be persecuted in islamic country but hindu sikh jain christian are presecuted in both bangladesh and pakistan,0,en
they never say that a muzzie was involved but everybody knows better,1,en
it was only because someone was comparing pregnancy to rape,0,en
q what do a nigger and a medium domino pizza have in common a they both can not feed a family of,1,en
akhirt pekan terindah,0,ms
"ikan hidu kesyelek batu , jika saya love awak , doa awak love saya tuu ?",0,ms
there really is an international conspiracy to turn all white countries into non white countries they are increasingly open about it the neo nazi conspiracy theorists were not paranoid they were right all along,1,en
kalau aku campak ke anjing mungkin boleh mati terus kot anjing itu,0,ms
i did not say anything about the violence in chicago other than a lot of people are responsible for it laughing out loud,0,en
todays ini terutamanya baik hari kepada beritahu a tumbuhan atau bug anda love menghargai them gembira bumi hari friends !,0,ms
momma anda tidak panas !,1,ms
i am no fan of the hijab and i despise the burka niqab but the constant harping by alt lighters and atheists about what some muslim women wear is a bit over the top it really not the ultimate manifestation of evil and oppression,0,en
"minsung aku elektrik love uda remaja yang sama sama suka cerita fiksi , kalo pacaran bakal manis atau justeru sebaliknya ?",0,ms
andme is a strange choice for this sort of thing given that it primarily works at the behest of the israeli government to determine who is a kike or not,1,en
i think it worse than that it is almost like the campaign to legalise homosexuality in the early they are wanting to make it normal it only took the queers until about,1,en
were i a women they di have to drag my ass out move the fucking rag head better yet do not allow them on airplanes,1,en
saya melihat at this balang daripada kebahagiaan called cahc pretzla,0,ms
"manfaat untuk canadaukraine foundation 100 performers melalui yang evening , including pengetua dancers daripada yang nasional balet daripada canada , 3 opera singers , itu ukrainian dance companies dan 1 ukrainian koir . torontos meridian dewan pukul 19.30 28042025",0,ms
"membesar , cyber yuppie .",1,ms
so just asians now right,0,en
i think it funny that you think arabs are your allies they fucking hate blacks and will castrate you like they castrate black slaves idiot,1,en
economic holocaust have a,0,en
that bullshit you know nothing you are a fucking retard,1,en
good idea except even if we made niggers slaves again it would just screw us niggers do not work and if you own the niggers you have to feed them and they eat like pigs what they eat is more than their worth the only good nigger is a dead nigger,1,en
hua lesen mati mat idhah,0,ms
horrible game and that aubameyang goal is everything that wrong with var ref blows the whistle before auba shoots and the goal is still awarded after review parent looking refereeing is a fucking joke,0,en
"hei gila , pengguna mudah saya , anda benarbenar membuat saya gila . anda benarbenar membuat tarikh keluaran palsu filem pilihan . saya tidak peduli apa yang anda katakan . anda mengganggu saya untuk menyunting artikel sebenar . terima kasih . f kayu anda .",1,ms
joe biden own words are proof that the left resorts to violence when they do not like something said by others that the tolerant left for you from a legal standpoint nonthreatening words are never justification for assault battery,0,en
that cool keep them coming soy nigger also known as ricky best bitch,1,en
why do you have that kike shit tavor,0,en
masa rakyat china cecah bilion dulu rakyat india sudah dalam juta orang jadi memang logik tuan rakyat india ini ramai bab jenayah itu memang payah hendak kesan penjenayah sebab rasuah pun tinggi,1,ms
you have a blue checkmark and thousands of followers yet you feel the need to reply to a guy with like followers who you think is a gay nigger jew,1,en
saya telah menambah tajuk bahasa inggeris alternatif dengan sumber yang berlainan melainkan anda mahu kembali kepada hanya satu tajuk bahasa inggeris . luar topik bagaimana dengan dandan youqing adakah anda mencadangkan penamaan semula album cina ?,1,ms
adakah anda suka payudara besar atau puntung besar ?,1,ms
i hope harry catch an sexually transmitted disease off this nigger,1,en
lee hsien loong chinamen criminals harry potter regular talker kanina sure or not kanina ranger are all involved in arranging pseudo terrorists this region to start racial violence in singapore tamil gangster tamil ravi shankar and chinaman uncle too,0,en
"saya am mendapat old ... thanks untuk semua yang messages terbaik hadir pernah , pertama basikal 23",0,ms
"fuck anda ingga , fuck anda . kawannya bukan gangster , yang penting dia bukan gangsta rap ! kanakkanak hari ini adalah yang penting lain fucking bodoh dan arus perdana ...",1,ms
"satu minit mereka ateis atau ahli gerakan kreativiti dan tidak percaya kepada setan , dan seterusnya mereka menuduh musuh mereka menjadi syaitan . ia hanya menunjukkan betapa bodohnya orangorang ini .",0,ms
gembira paskah ! paskah,0,ms
"kami percanggahan community adalah rolling with warriors mlz 125 membantu membuat keputusan tomorrows community bermain daripada yang hari , bahagian anda kegemaran picks , dapatkan advice dan tunjukkan off anda wins dalam kami percanggahan menyertai untuk percuma",0,ms
niggas out here fucking,1,en
seperti yang dikatakan oleh tuan thomas moore di mereka akan berfikir bahawa di suatu tempat di sepanjang silsilah anda seorang jalang mendapat di dinding !,1,ms
gosok ... cuci ... basuh ... guna semula ...,0,ms
amar emang lembab,1,ms
can not be the only one that wants drogon to burn that bitch sansa to cinders but no that would not be all that fun story wise,0,en
because in quran jews declared as enemy,1,en
"wikipedia adalah ensiklopedia dalam talian percuma yang boleh disunting oleh dopers , kanakkanak , penjenayah , orang yang lemah , orang bodoh , bodoh dan lebih buruk . marcus smerf",1,ms
mxskdpotato thanks alhamdulillah tak mati dan perasaan a banyak lebih baik now haha,0,ms
new orleans already got a reputation for violence you all want people to attack the tourists now,0,en
whitegenocide means much more than eliminating people of white skin pigment it also means the destruction of the culture of freedom moral clarity what there is of it and human progress only whites in principle advance those ideas,0,en
"festival ramadhan selangor tahun ini nama tema cahaya festira . ada macammacam jualan tahu ! baju raya pun ada , acara",0,ms
my best friend constantly whines about how i got the ghetto booty and the white skin and some how she got the white ass and the dark skin we are an amusing pair,0,en
"di sana adalah itu sales dalam yang lepas itu minutes 7529 , 37.98 eth 117,115 7545 , 25.88 eth 79,804",0,ms
would have been funnier if she had done that to a nigger or kebab but she would not because self preservation,1,en
"itu . ncek punya cek dalam shopee , rupanya aku beli menda ini . haha aku ingat aku beli kerusi , sekali rupanya aku bel",0,ms
see you faggots like in at gym and thats it mate never again son will i have to find an entertainment source with you all fuckin old douchebags and cunts rattling off at the beek when i aint around son in year old groupoids,1,en
i am in a lot of pain right now back to crying every night asking god why i wasn nanti enough for you i have not hurt this much in a long time yet i still can not bring myself to hate you,0,en
the kike usurped the white people place white europeans are god chosen people jesus was a gaul not a kike,1,en
the sand niggers deserve the same,1,en
as if only eating pussy is what makes someone a lesbian,0,en
"benci bgtt sama diri w yang sekarang , jahat bgtt sama orang yang berusaha baik ke gua",0,ms
how many muslims you will kill we believe in real after life justicefornewzealandmuslims,1,en
you do realize nazi were nationalist socialists you know the system that bernie and all those hippies are implementing,0,en
"astaga ... hari ini itu haur tba sariknya mulai siang tadi gara si cili lisa , memberi muar banar jua napa sidin tuh . pergi",0,ms
donald trump adalah menjadi lebih lagi demented by yang minit .,0,ms
"kalau macam dikira pendek , apalah nasib macam ini taca opzxedcmwk",0,ms
is average height for women you niggas just short,0,en
saya berfikir saya tahu yang jawapannya kepada itu satu,0,ms
this is a win for maga do u think people realize these non profits are a back door to supporting immigrants plus all the federal so they get welfare non profit grant money taxpayers this is a racket that is on a scale of the clintonfoundation where are investigative reporters,0,en
"ya , apa sahaja ... tiada apa yang lebih buruk daripada neruda pada perjalanan kuasa ! itu kerana orang seperti kamu yang sakit dan letih wikipedia !",1,ms
kamu jahil dan pendusta . saya terkesan noclador sekurangkurangnya boleh menetapkan anda betulbetul di luar kawalan mentaliti jerman ini .,1,ms
lagacawan celaka punya lebai tak pandai buat kerja hendak suruh dusi tolong,1,ms
my supervisor is a fucking coon i have a white kid telling other kids that they are acting like niggers and he doing nothing about it,1,en
cari eh . haha ... mesti banyak bahagian ini ...,0,ms
saya doa tidak mempunyai ideas tetapi saya liked yang sedikit berfikir daripada ini alternatif melakukan a sedikit berputar kepada ubah ke dalam a person hadhkjhasfafwa,0,ms
sheeit nigguh you fuckin trippin why boy that nigger turnin him life aroun gnomesayin on his way thanks again mufuggin churchskoo an shit an outta nowheres them dam raysis crackas jump out the bush and try thanks again rape them self dafunce all the dam way where dafaq muh lawsuit moneys,0,en
fucking piece daripada shite anda fucking bastard knobhead knobhead knobhead knobhead,1,ms
it britney bitch,0,en
forgot my password to this shit once i got a new phone instant message back bitch,0,en
just had kabitch to the jeep,0,en
lawan sahaja la dengan fahami fadzil masuk bersatu kompem menang pak cik dia pun mpa sana dulu,0,ms
if ca stopped paying out in tax dollars for illegal aliens there di be plenty of money to help homeless us citizens,0,en
niggers in tulsa on video saying fuck the police after a wild nigger mentally ill was killed by cops we do not want or need niggers in america quit using niggers call black lives matter instead of better yet leave america now you worthless pieces of shit,1,en
explain judeo christian history of previous english kings of christian faith also past jewish kings holding woman as man property how to protect some woman from rape laws of nature allow man to rape women do not molest a man wife like not to molest his horse,0,en
jinx dalam yang middle daripada yang night adalah yang scariest sight,0,ms
the american women in service are waiting for the call to deploy,0,en
sannsa adalah jalang lemak besar kerana tidak meninggalkan pengguna sahaja berserta angela . billj adalah dumbas untuk memadam mesej saya .,1,ms
saya babi yang gemuk . yang dimiliki oleh wikipedia,1,ms
akmalovback gila wei sakit mental tahap dewa,0,ms
not pacsun though because instant message not a,0,en
canada is run by the retarded asshole justin trudeau who is turning it into a frozen islamic shithole,1,en
a pastor at trinity lutheran church in berlin has revealed that the german gov is rejecting almost all applications for asylum from his church iranian and afghan refugees who have waited years in germany for the gov to hear their cases these asylum seekers are now receiving deportation notices,0,en
"saya setuju , kanakkanak ini adalah seorang pengganas , yang berpurapura bahawa dia secara moralnya memadamkan maklumat yang dia tidak suka dan menaja keganasan melalui memecahkan kebenaran tentang pengganas .",1,ms
"asshola , makna penting , anda adalah serpihan .",1,ms
and that not even the last worst of what he did he claims he raped and murdered girls in the but would toy with the investigators by confessing and then later saying he did not remember etc,0,en
africans have murdered more than white farmers but the blacks are too lazy stupid with an iq of mildly retarded obese nigger are just niggers that are inactive lazy useless pigs,1,en
only autistic faggots think a thing only exists if it has crisp borders do you not think we know what blue is laughing out loud what a fag,1,en
the faggot and dyke agenda strikes again,1,en
i ll be glad when we make it out the,0,en
do it i want to get the actual words white trash in metallica font somewhere on me laughing out loud,0,en
gembira iftar semua orang !,0,ms
do not do that brother watch out for them white folks laughing out loud,0,en
anda adalah curi yang hanya difikirkan oleh orang lain . mwalla,1,ms
pastikan tangkap semua peniaga paati haram yang berniaga secara bebas di pasai pasai palgi dan borong rakyat,1,ms
"di sini kami pergi !!! msa untuk lain kilat memberi 50 apa coins 10 winners ! setiap pemenang gets 5 ! kpada masukkan ikuti seperti , rt tag friends winners announced dalam 60min nftgiveaways nftcomunity nfts",0,ms
oh the irony of putting out a commercial showing a racist white guy chasing poor minorities w a truck when facts are it dirty muzzies mowing down americans in rented trucks,1,en
tamat penat pos minta maaf kepada alleycats yang tak pasal pasal tetiba nama mereka diheret masuk cerita gila ini sampaikanlah salam cinta kami kepada mereka versi dengan gambar screenshot bukti di laman twitter kami twittercom merdekarya status,0,ms
"belah malam , kami jalanjalan ke wakaf che yha . ktanya sini selalu penuh lagilagi kalau hujung minggu . bnyak jug",0,ms
adakah anda tahu mana akaun lain mengedit dari kolej asrama sama seperti yang anda cakap,1,ms
i agree but we have immigration courts in areas to process the scum and this is the way of matters for the moment we need to be tougher on beaners and other dregs and just eject them automatically after finding out their status as illegals,1,en
1719h trafik sesak dari minlon ke kta serdang upm balakong ke seri kembangan sapura ke yang lombong chan menyemai,0,ms
i get told by these people all day how i am amazing and i deserve more than the best like legitimate people that aint trying to shoot you think i am playing with you niggers cus i am not,0,en
. semua sementara orang sebenar menumpahkan darah sebenar dan kematian sebenar mati dalam peperangan yang sebenar,1,ms
they are too retarded to farm or get a grasp of animal husbandry they are not moving here for the space it for the gibs and to rape,1,en
"gila babi kuasa malang , dia baru debut sahaja terus sudah dapat rank ke dunia baiiyoo she boleh menembak bullseya kepada saya heart mang taca jmktcqhgks",0,ms
